profile,userid,genres.Action,genres.Adventure,genres.Comedy,genres.Demons,genres.Drama,genres.Fantasy,genres.Game,genres.Historical,genres.Horror,genres.Magic,genres.Mecha,genres.Military,genres.Music,genres.Mystery,genres.Parody,genres.Police,genres.Psychological,genres.Romance,genres.School,genres.Sci-Fi,genres.Seinen,genres.Shoujo,genres.Shounen,genres.Slice of Life,genres.Space,genres.Sports,genres.Super Power,genres.Supernatural,genres.Thriller
Dyor,1076,28,20,14,0,19,7,1,2,0,3,25,9,4,3,2,1,4,6,0,58,3,0,10,2,8,1,3,2,0
theclencher,1077,18,42,18,0,12,13,0,5,2,4,8,2,0,5,1,1,0,6,1,16,2,2,16,3,3,2,2,4,0
starblades,1078,18,15,13,7,28,17,0,88,2,3,2,7,3,5,4,1,1,7,0,3,6,4,3,11,0,0,1,18,1
iDontlikeanime3,1079,97,28,27,5,21,25,4,5,7,11,23,10,3,8,1,2,1,7,7,39,9,3,29,0,10,3,11,16,1
Emeraldyoukai,1080,95,31,27,2,21,22,8,4,4,10,18,10,4,6,1,2,1,4,5,40,10,1,24,3,8,6,12,12,0
SexySoapTurtle,1081,94,26,35,9,19,28,2,4,2,10,24,8,2,6,3,4,1,9,4,41,10,5,26,0,8,1,14,17,0
BloodSunset,1082,2,2,25,0,14,8,1,5,0,3,1,0,5,0,1,0,1,6,10,0,9,5,4,58,0,2,0,0,0
vishal_srt,1083,2,3,9,0,10,6,1,1,0,2,2,1,95,2,1,0,0,4,6,8,2,4,0,10,3,0,0,1,0
xxaquaxx15,1084,36,76,23,2,7,34,2,6,1,6,13,3,2,4,1,1,1,7,0,27,3,1,27,3,7,1,3,10,0
Primo_27,1085,8,12,65,0,4,11,1,2,2,1,4,0,1,2,6,3,1,4,11,14,5,2,13,8,0,3,1,5,0
CmmiKllr,1086,5,7,61,3,2,8,0,3,0,2,3,0,1,4,6,2,0,8,10,7,9,2,12,12,0,2,2,6,0
kurotachimi,1087,4,1,50,0,1,5,1,2,0,4,7,2,1,1,63,1,0,5,7,8,4,1,2,7,2,1,9,1,0
pipatrol,1088,14,41,17,1,7,17,1,2,1,4,1,2,0,3,0,0,0,6,0,7,2,2,8,0,3,0,0,3,0
KenpachiNoPein,1089,14,14,20,1,76,11,1,15,0,4,7,10,6,3,0,1,2,19,7,14,5,5,15,14,4,3,1,3,0
Maaku,1090,32,25,23,4,5,74,7,7,4,16,1,4,5,7,2,0,2,4,1,13,2,4,14,2,0,0,2,10,2
Laundingo,1091,8,7,67,0,0,10,2,3,1,8,7,2,0,2,80,0,0,3,9,10,1,0,6,7,0,3,3,4,0
Bahamut27,1092,12,8,61,4,4,12,0,6,1,6,2,1,1,1,7,2,0,11,12,8,5,3,13,10,0,5,3,10,1
Arcanus,1093,17,20,10,0,71,12,0,6,3,2,9,9,2,3,0,0,3,17,7,19,5,4,8,14,10,5,1,2,1
Lizonka,1094,2,4,41,1,22,3,1,9,0,0,0,0,9,0,1,1,3,10,19,4,6,7,4,82,0,1,0,4,0
Kurakao,1095,3,0,4,1,7,2,1,0,0,1,2,0,46,2,0,0,2,3,5,6,1,2,0,7,0,0,0,1,0
yahzee,1096,8,3,11,0,10,8,2,0,0,2,4,2,94,1,2,0,1,7,4,7,2,6,2,9,2,2,0,1,0
TheEternalHunter,1097,88,32,23,3,17,29,5,4,1,12,14,10,1,10,1,5,1,3,3,33,7,2,22,1,10,4,9,15,2
Mr_Kamina,1098,24,24,30,3,9,35,1,4,2,69,2,0,1,2,2,1,1,16,7,10,3,16,8,5,2,0,2,16,1
TheSpiceOfLife,1099,10,13,4,4,14,8,0,43,1,4,4,5,0,1,0,0,0,5,0,3,2,3,3,2,0,1,1,10,0
PhoenixSlayerSan,1100,3,2,42,0,13,10,0,4,0,4,0,0,5,2,1,2,1,8,23,3,8,3,6,76,0,1,0,5,0
neckbeard,1101,68,15,17,3,10,14,0,2,2,2,18,11,1,8,3,5,2,5,5,25,7,0,14,1,4,2,5,8,1
Death576,1102,37,23,9,0,13,4,1,5,3,2,25,5,1,5,1,2,2,4,0,60,2,0,17,3,12,1,5,3,1
maxkus,1103,41,40,33,4,9,97,5,8,2,30,3,2,5,4,6,1,1,12,4,10,5,6,15,4,1,0,2,13,0
Bdun4,1104,38,17,16,0,12,5,1,0,0,2,63,13,3,0,5,2,2,4,3,51,2,0,14,1,16,1,2,1,0
xxsenilexx,1105,91,39,27,2,4,31,3,6,0,11,19,12,3,8,3,2,0,7,2,32,8,1,16,0,7,2,16,6,0
sango868,1106,13,7,5,1,46,6,1,8,2,2,4,7,1,4,0,0,2,12,4,8,3,7,8,10,3,5,2,4,2
Aidan,1107,1,1,1,0,1,1,0,1,0,0,0,0,35,0,1,0,0,1,2,2,0,0,0,4,0,1,0,0,0
AlephDaud,1108,6,7,21,1,22,11,0,7,2,5,1,1,3,4,2,1,1,53,15,8,4,7,9,8,2,3,1,5,0
BladedCiaran,1109,48,14,7,2,10,14,4,2,0,9,9,6,2,3,0,1,1,5,2,20,1,1,9,0,2,0,7,4,1
Astronaut001,1110,34,19,29,6,13,46,2,6,0,76,4,1,1,2,3,1,3,16,4,8,2,18,11,5,0,0,3,15,3
rayearthlover,1111,16,18,97,2,10,10,4,4,2,4,2,0,2,8,11,4,0,11,15,13,8,1,21,21,0,12,4,5,0
Yersina,1112,93,28,39,7,17,25,2,3,6,8,12,10,2,10,1,9,2,10,11,31,6,7,27,1,8,3,12,19,1
jonk30001,1113,6,3,9,0,4,3,3,1,0,4,2,2,97,1,0,0,0,5,11,7,0,1,0,10,3,0,1,0,0
lovevillain,1114,95,32,32,5,16,26,4,3,2,12,12,8,2,16,3,3,2,11,1,28,8,4,29,1,7,7,10,16,2
Swiggy1957,1115,1,1,8,0,4,7,1,1,0,0,0,0,60,1,1,0,0,4,7,3,0,1,1,7,1,0,0,1,0
ocs,1116,43,28,26,0,19,9,0,4,5,3,29,13,6,4,1,3,3,5,2,91,1,2,14,1,19,1,5,2,1
daisy_sun,1117,1,1,2,0,1,3,1,1,0,1,3,1,49,0,0,0,0,0,4,2,0,4,0,5,1,0,0,1,0
CaptainKishimoto,1118,54,34,20,4,20,9,4,2,3,0,39,13,2,1,0,2,1,5,2,97,5,0,23,1,18,3,3,4,0
Firebolt13,1119,15,3,36,0,21,0,0,0,0,0,1,1,4,0,1,0,0,4,21,4,5,2,40,5,0,83,4,0,0
realglitch,1120,32,32,24,4,11,76,2,4,5,23,0,2,4,5,3,1,0,5,3,7,3,7,20,8,0,1,4,15,1
Sfuturama79,1121,12,3,23,0,14,0,1,0,0,0,1,0,3,0,1,0,0,2,10,3,3,1,25,4,0,51,1,0,0
MySweetLucifer,1122,83,28,20,2,15,27,5,1,2,8,21,9,1,3,2,3,2,5,8,38,4,1,19,1,10,5,7,11,1
ThatGoatDude,1123,8,7,5,6,3,10,0,0,35,0,0,2,1,10,1,2,8,2,0,2,2,1,1,0,0,0,0,16,4
TaLoN_senpai,1124,30,15,17,16,15,24,0,5,13,15,1,2,2,19,3,1,6,12,8,10,10,2,10,9,0,0,7,72,5
JokerChoker,1125,6,8,50,1,4,7,0,0,0,6,4,1,3,4,6,2,0,4,3,7,2,3,7,9,1,1,3,2,0
Kagehina1009,1126,45,25,47,9,12,53,3,7,0,96,2,2,7,4,2,1,1,21,12,9,4,20,17,5,0,0,6,22,0
Quantshot,1127,20,22,21,3,11,42,3,1,2,61,0,2,2,2,1,0,1,7,8,3,2,16,6,5,0,0,2,13,0
iulli,1128,14,43,14,1,7,13,2,4,1,3,3,3,0,4,1,2,0,4,0,11,4,2,7,3,2,1,2,3,0
FylkZadeyah,1129,16,5,23,11,10,13,2,11,4,7,0,0,1,7,2,0,2,6,4,1,7,1,15,3,0,0,2,53,1
hnahkltn,1130,3,0,3,0,4,3,0,1,0,1,2,2,39,0,0,0,0,5,3,4,0,3,1,5,2,1,0,1,0
Firex00,1131,19,12,42,1,43,14,4,7,2,8,5,4,8,5,1,2,2,95,24,18,7,17,7,17,5,5,2,11,2
Jeffjta21,1132,1,2,58,2,18,3,1,4,0,2,1,1,8,1,4,0,0,21,31,5,12,6,11,86,1,2,0,5,0
KuroMayKami,1133,13,10,12,0,44,5,1,7,1,1,5,4,3,6,0,0,2,10,2,11,3,5,5,7,3,0,2,4,0
anime96Kitty,1134,3,1,5,0,7,6,1,0,1,2,2,2,90,1,0,0,0,8,6,7,1,5,1,11,2,3,0,3,0
H4Z3,1135,5,3,16,0,14,8,3,1,0,1,1,0,91,0,0,0,1,9,9,6,3,10,3,10,0,1,1,4,0
Neku_Tennyson,1136,31,24,18,1,12,8,2,0,1,2,26,8,3,3,2,3,5,9,5,69,2,1,9,1,13,0,3,2,0
Ty-Chan,1137,20,37,14,2,5,13,1,4,0,4,6,0,0,2,0,0,1,7,0,15,2,1,13,0,2,1,3,5,0
CGJAnime,1138,1,3,33,1,28,3,0,2,0,0,2,0,11,3,0,0,2,13,17,4,5,4,10,73,2,2,1,8,0
KamuiGavin,1139,21,18,25,3,7,15,1,1,2,5,3,2,1,4,0,1,1,8,7,9,0,0,43,3,0,5,4,11,0
LilMissKashyap,1140,8,10,39,0,4,4,1,0,0,1,2,1,0,4,2,1,0,3,6,2,3,0,9,11,1,2,2,2,0
PalePurple,1141,7,4,37,1,4,5,0,2,0,2,1,1,1,1,4,2,0,3,3,5,4,1,8,8,0,2,3,2,0
emmeka,1142,28,23,26,20,19,25,1,11,13,12,3,0,0,22,1,2,10,11,11,11,15,5,23,10,1,0,6,90,6
Eleiryn,1143,18,26,26,2,35,13,0,98,3,2,1,5,2,6,4,1,0,16,1,4,6,4,7,10,0,1,2,11,1
MisaoAino,1144,91,29,18,6,17,21,5,5,6,9,20,16,4,8,1,4,1,8,5,44,8,4,19,2,8,1,13,15,2
YatoKagura,1145,13,2,50,2,1,8,6,1,1,3,11,0,2,1,66,0,0,2,8,10,6,0,5,3,3,1,5,3,0
iamsulu,1146,4,3,10,0,5,11,3,1,0,0,2,1,95,0,2,0,1,4,5,5,0,6,1,10,2,2,2,3,0
LovinglyGaslight,1147,5,4,1,2,8,4,1,3,0,2,3,2,60,0,0,0,0,6,0,5,1,5,2,2,5,3,1,2,0
Athenry,1148,2,2,50,1,16,7,2,2,0,6,1,0,6,0,4,0,0,12,26,2,17,7,5,84,0,2,0,3,0
YELLOWSCRUBXD,1149,47,84,30,4,13,34,1,10,1,7,14,5,1,8,0,3,1,4,1,29,5,1,28,1,7,2,2,8,0
Mireannea,1150,32,38,26,11,12,88,5,6,3,28,0,0,2,4,2,0,1,12,1,9,1,9,12,5,0,0,3,21,0
SPILTMILQ,1151,2,4,9,0,5,6,2,1,0,3,0,0,77,0,2,0,0,5,8,4,2,6,1,12,1,1,1,1,0
dolanduck,1152,18,35,10,2,8,15,0,5,3,4,6,0,0,3,0,0,0,2,1,9,3,0,9,2,2,0,2,4,0
xfullmetalbaka,1153,29,40,39,4,12,97,4,4,6,25,1,0,5,4,1,0,2,10,3,12,3,9,22,8,0,0,2,11,1
Raw13,1154,5,1,30,0,8,6,0,0,1,6,1,1,1,2,4,0,3,13,44,3,5,2,8,14,0,2,0,5,0
hamoun,1155,22,16,8,0,7,4,1,2,0,0,17,3,0,3,0,2,1,5,0,41,2,0,15,1,6,3,3,1,2
Polaris,1156,1,0,6,0,6,4,1,2,0,0,1,1,73,0,2,0,0,4,4,5,2,4,0,6,2,4,0,0,0
karlschlosser,1157,40,23,16,2,20,8,3,0,2,4,27,11,3,6,5,2,5,8,5,79,2,1,11,1,17,3,7,4,1
KamilTheMofo,1158,20,10,9,0,11,4,1,0,1,0,14,3,1,3,1,0,3,2,0,36,1,1,10,2,8,0,1,0,0
tj_odee,1159,12,15,70,2,3,11,1,3,0,5,1,0,0,5,8,3,0,5,7,6,4,1,10,13,0,6,3,8,0
vegardpompey,1160,18,5,30,0,19,0,1,1,0,0,2,1,1,1,3,1,0,4,18,2,2,3,39,10,0,73,2,0,0
sunshiner1,1161,16,13,20,2,9,33,3,2,0,53,2,0,0,2,3,0,1,8,6,6,1,11,8,3,1,0,1,8,1
Z_Manga-Man,1162,20,17,16,1,62,14,0,7,3,4,5,5,3,6,0,2,5,16,8,13,3,1,11,12,3,4,1,2,1
P-Chan3639,1163,31,9,10,0,14,3,1,4,1,2,19,8,2,0,3,0,2,3,2,52,1,0,8,4,8,1,7,0,1
Qwerkzy,1164,4,2,12,1,11,10,0,2,0,13,0,0,5,0,0,0,0,14,8,2,0,41,0,9,0,4,1,3,0
ivanduzer,1165,2,0,7,1,8,5,0,1,1,0,1,1,91,0,0,0,1,5,5,5,2,4,0,9,2,1,0,0,0
MsBlinou,1166,12,15,81,3,13,16,0,5,2,6,1,0,4,4,8,2,3,12,14,9,6,4,17,16,1,4,6,9,2
ladysasuke,1167,13,18,4,4,29,14,0,63,2,2,0,2,2,7,1,0,1,8,1,2,7,2,3,8,1,1,0,11,1
Mune-sama,1168,1,2,27,0,10,8,1,1,0,3,1,0,2,0,1,0,1,7,14,3,2,4,3,48,0,2,0,2,0
iinikushi,1169,48,19,10,3,4,13,3,2,2,5,13,7,0,6,1,3,0,3,0,18,4,1,17,0,2,1,7,8,1
TheFinalPie,1170,9,10,49,3,5,9,1,4,1,1,3,1,1,2,3,0,0,6,9,8,8,1,9,12,0,1,3,4,0
xBroken,1171,12,4,25,0,18,0,0,1,0,0,1,1,2,2,0,2,0,2,14,5,3,5,32,3,0,61,0,0,0
woofiewilly,1172,4,2,7,0,8,4,1,1,0,2,1,0,76,1,1,0,0,4,7,2,1,5,2,8,0,1,0,0,0
tcubed,1173,5,4,39,1,6,2,1,3,0,3,2,1,1,2,3,0,0,5,5,6,3,2,3,14,2,2,0,1,0
Pentylover64,1174,22,6,6,0,13,1,1,0,1,0,19,14,2,0,0,1,2,6,0,37,2,0,6,1,43,0,1,1,0
holyknighthikaru,1175,35,76,27,4,14,25,2,4,0,15,10,2,1,6,1,3,0,8,2,28,4,0,21,2,5,1,4,7,0
eindeadmiles,1176,9,9,54,1,7,6,1,1,1,1,1,1,2,3,5,2,1,12,11,9,1,4,13,8,1,5,2,4,0
rikkotec,1177,11,4,31,0,28,1,1,1,0,0,3,0,4,1,3,1,2,7,25,3,8,5,41,7,0,90,3,0,0
ifalna,1178,22,48,24,0,8,17,3,2,3,2,4,3,1,5,1,1,2,4,3,11,6,1,16,0,3,1,5,7,0
ReelVibes,1179,40,17,14,0,17,3,1,0,0,1,75,17,3,2,1,7,2,4,1,57,2,1,12,0,13,1,3,1,0
oPoisxn,1180,13,10,8,3,15,8,1,48,1,1,0,3,1,6,0,0,0,7,2,5,1,4,4,3,0,0,1,8,1
dogtato,1181,24,17,25,3,3,25,80,1,0,4,0,2,4,3,6,0,2,6,8,6,9,0,17,5,2,1,0,2,1
zero4life,1182,11,7,14,2,5,7,1,3,5,1,0,0,1,35,0,2,5,2,3,3,7,1,6,2,0,0,4,12,2
Chefbryrd,1183,76,28,21,1,14,21,5,4,1,9,22,12,1,5,3,4,1,7,6,37,4,3,25,1,10,2,7,8,0
bob1191,1184,36,16,5,1,16,4,0,0,1,2,60,15,1,1,3,3,2,6,2,42,1,0,13,0,16,1,1,1,0
jayafj,1185,9,10,25,6,6,25,0,2,1,41,3,0,1,0,2,0,1,10,5,6,2,10,7,5,0,0,3,8,0
masumi_amari,1186,14,4,8,1,51,3,1,6,0,4,6,8,5,2,0,1,4,15,12,10,6,8,2,13,6,3,1,4,1
Hanalysis,1187,26,22,33,2,7,47,2,0,1,72,1,3,4,1,2,0,0,12,9,4,4,18,10,9,0,0,2,9,0
FreshOrange,1188,3,0,14,3,8,14,0,6,2,13,0,1,4,1,0,0,1,15,8,0,0,39,0,7,0,0,1,7,0
FinnSanity,1189,8,12,26,4,32,12,2,5,2,6,1,1,7,1,1,1,2,60,16,6,7,13,4,9,0,1,3,12,0
MrYechk,1190,19,24,94,1,10,16,0,3,2,6,6,2,4,3,5,3,0,10,15,11,5,0,27,18,5,5,6,11,1
BossTheKid,1191,26,65,28,1,13,31,4,4,1,6,6,1,1,7,0,3,0,5,1,18,2,4,22,2,5,0,8,9,0
kay91,1192,8,3,78,1,1,10,3,6,1,3,7,3,2,0,97,2,1,2,2,13,4,2,3,5,3,3,9,4,0
PanzerKampf,1193,42,89,29,5,26,31,4,8,2,13,13,3,1,8,1,4,1,6,1,31,7,5,32,5,5,3,5,11,0
sumeragis,1194,41,25,30,21,17,34,0,10,20,20,1,2,3,15,0,2,8,9,7,7,6,5,21,6,1,0,5,93,3
LeNegligible1,1195,37,82,27,4,10,36,3,6,1,7,10,2,0,0,0,1,1,8,1,30,2,3,28,2,7,2,2,4,0
OXYPPGYN,1196,17,41,13,2,10,14,2,4,0,6,4,2,1,4,0,2,1,10,1,6,6,2,9,3,1,0,2,2,0
MysticusFreeze,1197,14,11,68,1,6,12,0,0,0,2,2,1,6,1,7,1,1,6,15,10,9,2,15,16,0,7,2,2,0
Savage1,1198,21,9,9,0,11,3,2,2,1,1,12,5,1,1,1,0,3,6,2,37,1,1,9,0,9,1,3,0,0
Dalivinpotato,1199,16,17,15,0,6,7,3,0,1,1,7,3,0,1,0,1,0,5,5,15,0,0,38,2,2,9,4,6,0
Jarrbearr,1200,29,29,15,4,95,18,0,22,6,5,9,12,4,4,0,2,5,13,9,21,9,6,15,18,7,8,0,12,2
kakaros,1201,15,11,27,1,10,5,3,3,5,3,2,1,1,9,3,1,3,5,10,6,49,0,0,12,2,2,2,10,2
SaintAnnesBeaver,1202,13,8,7,1,45,9,0,10,2,3,2,4,2,1,0,1,2,11,4,6,4,5,2,10,0,7,0,9,1
mastercrisis,1203,25,20,27,3,10,11,6,2,0,4,7,1,3,8,0,4,3,5,8,15,0,0,57,3,2,9,2,7,1
Dark_Sister,1204,1,0,40,1,21,7,2,4,0,5,0,0,13,0,2,0,2,10,16,3,5,4,8,86,0,1,0,7,0
AlkalineAsFuck,1205,3,2,7,0,5,1,0,0,0,3,3,0,51,0,0,0,1,1,1,4,0,0,0,2,1,1,1,1,0
prexor,1206,5,4,48,0,1,5,0,3,0,2,3,0,1,2,4,3,0,7,8,5,3,2,8,11,1,3,1,2,0
Darrell_Jordan,1207,14,14,84,1,9,14,3,2,1,11,2,0,3,1,7,2,0,12,17,11,7,5,18,16,0,4,2,8,0
WithinReach,1208,50,12,13,2,39,10,3,7,2,2,42,81,2,1,0,0,1,10,6,57,3,1,7,2,29,0,4,4,0
Rohling,1209,14,16,80,0,9,11,1,1,0,7,3,0,3,6,4,4,0,7,7,6,9,4,18,22,0,6,3,5,0
SeinenNinja,1210,20,16,95,2,6,11,2,5,0,6,8,2,3,6,9,5,0,15,18,15,4,5,18,17,3,3,4,6,0
StarrySkyline,1211,32,22,31,6,12,45,2,1,2,73,1,2,3,1,6,0,0,8,5,4,1,18,10,10,1,0,3,15,0
PoltergeistChan,1212,8,9,59,0,9,10,3,1,2,7,1,1,1,4,9,3,1,5,8,6,3,0,11,10,2,5,0,4,0
Mojetitak,1213,29,64,30,3,12,24,3,7,3,10,4,1,0,5,3,4,2,9,1,15,3,2,21,1,5,2,5,10,0
Thedeadcat,1214,7,1,24,1,8,4,1,0,1,4,0,2,1,1,1,0,0,12,38,2,4,6,6,16,0,5,0,1,0
metadata,1215,17,16,14,4,38,17,1,92,1,7,1,3,4,4,3,1,1,15,0,3,6,9,8,6,0,0,1,16,0
Anivers_man,1216,33,18,26,4,22,8,3,4,9,2,4,3,1,80,0,13,14,6,5,11,17,3,16,3,0,1,7,23,10
TylerCiggy,1217,47,11,27,4,7,12,0,0,2,3,7,3,3,9,8,0,0,3,7,18,3,1,18,1,1,2,66,10,0
sexydadee,1218,30,21,14,0,8,4,1,1,1,0,18,5,3,2,0,4,0,6,5,60,4,0,14,3,7,1,0,2,0
Chutanda,1219,37,21,18,2,5,32,80,1,0,5,2,2,6,7,6,0,4,7,5,11,3,0,16,5,0,2,0,3,2
hisokaomi,1220,1,2,5,0,3,7,1,2,0,1,1,0,69,0,0,0,0,5,3,5,1,3,2,8,1,0,1,2,0
kechuu,1221,1,4,18,1,12,5,1,4,0,0,0,1,2,1,1,0,0,3,8,1,3,4,1,40,0,0,0,5,0
PkFreezeOmega,1222,31,32,31,3,14,76,2,5,1,19,3,2,6,3,3,0,2,12,3,7,2,7,15,4,0,2,3,8,1
Hina01,1223,13,35,9,3,4,19,2,5,3,3,5,0,0,2,0,1,0,2,1,13,1,0,13,1,1,0,1,4,0
WinstonWingZhang,1224,6,2,8,1,7,4,0,4,0,1,4,3,74,0,2,0,0,6,6,8,1,7,1,9,3,0,0,2,0
saphire2moon,1225,25,20,36,2,8,10,6,1,1,1,8,2,1,6,2,3,0,6,14,14,0,0,61,4,4,10,6,6,0
exundervice,1226,3,1,6,1,3,3,0,1,0,2,1,0,57,0,0,0,1,3,5,2,1,3,3,2,2,1,0,1,0
Oracle008,1227,3,2,6,1,4,7,2,1,0,4,1,0,56,0,0,0,0,3,1,2,0,2,1,7,1,2,1,5,0
BurntJelly,1228,15,22,19,8,24,12,0,77,3,2,3,6,0,1,2,0,0,12,1,3,5,5,8,9,1,0,0,12,0
Auska-Neumaki,1229,4,0,3,0,6,2,1,0,0,0,1,0,43,0,0,0,0,0,2,4,0,1,2,1,0,1,0,0,0
asuca,1230,6,11,84,1,14,10,0,2,1,3,4,0,0,6,9,4,2,14,14,9,6,4,15,23,0,5,2,6,0
w8n3ichy,1231,5,7,48,0,4,8,0,1,2,8,1,0,0,3,5,1,0,12,11,3,3,4,8,10,0,2,0,4,1
onering01,1232,67,21,14,1,9,15,3,2,1,3,15,4,3,5,1,2,2,8,3,26,3,1,11,1,5,2,9,17,1
KenKaneki4Life,1233,12,10,56,2,4,15,0,2,0,4,4,1,1,3,4,1,1,6,1,12,3,2,12,7,4,5,1,3,0
Elsyaad,1234,47,26,8,0,11,5,0,2,0,0,64,14,1,0,2,4,1,2,0,53,1,0,15,0,11,0,2,1,0
marc19count,1235,8,4,26,0,13,0,0,1,0,0,1,0,5,0,0,0,1,8,18,4,5,7,39,6,0,75,3,0,0
joaquinnacpil,1236,12,12,67,1,6,5,0,1,1,2,6,1,5,2,6,2,0,10,15,8,6,4,16,17,1,2,2,9,0
-Frost-,1237,39,15,33,19,18,25,2,8,15,10,0,3,4,20,2,0,9,17,8,6,10,8,18,5,0,0,5,93,5
jtsw20,1238,39,33,23,1,21,7,1,0,2,2,33,8,3,6,4,3,4,12,2,88,6,2,16,1,18,0,10,7,1
quadnia,1239,21,10,10,3,37,10,4,3,20,5,8,5,3,37,1,7,88,6,8,27,19,2,9,2,1,1,2,30,14
fightcali,1240,19,8,4,11,7,13,0,1,57,3,0,4,1,17,1,0,10,3,1,5,5,2,4,0,0,1,3,26,3
Noobuddy,1241,4,1,6,0,5,4,1,1,0,3,4,1,72,0,2,0,1,3,9,6,1,5,0,9,2,1,0,1,0
deadlysoups,1242,12,6,52,0,3,4,2,0,0,4,2,1,5,4,2,1,0,3,4,8,4,2,9,11,0,3,5,2,0
ParagoNoX,1243,32,31,23,4,10,75,3,4,2,19,2,1,5,4,1,1,0,6,4,9,2,6,11,6,2,0,1,9,1
Otaku_2907,1244,20,15,18,3,10,34,3,0,0,57,3,0,4,2,3,1,1,8,7,7,0,11,7,5,1,0,3,12,0
Nara-Sama,1245,26,22,36,3,6,12,1,0,0,7,7,1,0,7,2,3,0,4,11,15,0,0,56,1,4,9,6,7,0
VelocityWaffles,1246,30,33,28,6,13,82,4,7,2,23,3,3,5,2,2,0,3,13,4,7,3,4,14,5,0,0,3,14,1
dbell,1247,18,11,81,2,4,12,1,4,0,9,8,1,2,4,15,1,1,11,14,14,7,1,10,16,2,3,3,6,0
WinMillion20,1248,25,57,18,3,8,23,1,7,1,5,4,2,0,4,0,1,0,4,0,18,8,1,17,3,4,2,4,6,0
LuckyKrystal,1249,43,15,11,0,14,6,1,0,0,0,64,14,1,2,3,5,5,7,3,55,4,0,11,0,11,0,5,0,0
Yari_Ashigaru,1250,8,6,41,0,6,4,3,0,0,1,2,0,3,1,8,1,0,7,7,6,4,1,9,12,0,0,2,2,0
SirShabby,1251,59,18,8,1,10,14,3,2,2,6,17,8,2,2,1,4,0,5,4,29,4,3,16,1,4,1,9,6,1
tsudecimo,1252,1,2,40,1,22,7,0,4,0,5,1,0,6,3,0,0,1,10,13,2,9,4,1,81,0,4,0,8,0
Pria,1253,12,15,15,6,22,10,0,63,1,3,4,3,1,1,3,0,0,9,2,4,4,6,8,6,0,0,0,10,0
Killua_Noragami,1254,23,17,15,2,94,11,1,16,5,3,12,7,5,4,0,1,6,30,16,27,7,10,15,17,6,3,2,4,0
Arixx,1255,10,1,46,2,24,8,2,2,0,9,2,2,7,1,5,0,1,29,85,6,5,12,13,26,1,11,4,4,0
KurokiAyano,1256,23,28,21,7,8,62,2,5,1,14,1,3,3,3,0,1,1,7,3,8,2,6,13,4,0,0,4,6,1
Azure_Flame,1257,28,15,16,59,4,24,1,9,11,8,1,2,1,6,4,0,2,6,3,3,3,4,16,2,0,1,2,33,0
ScuttleDuck,1258,47,20,17,0,17,5,0,0,2,3,35,13,2,8,2,3,6,5,4,81,6,1,14,6,12,2,4,4,1
jiwook,1259,15,14,85,0,14,14,0,4,1,10,5,2,2,6,9,2,0,11,10,10,5,6,19,17,0,6,4,5,0
Jubbz,1260,27,17,13,0,20,2,1,0,2,0,24,19,5,1,2,0,2,4,1,47,4,0,8,3,56,0,2,1,0
ladymanson,1261,44,13,11,2,7,18,6,0,4,6,5,3,0,7,0,2,1,3,0,14,8,3,5,1,5,1,2,8,1
NotPewDie,1262,42,27,20,1,16,13,2,2,5,1,26,7,2,5,9,2,5,8,2,83,7,1,15,1,11,1,6,5,0
Unslinga,1263,40,27,17,0,19,3,0,0,2,0,28,22,3,2,1,0,0,6,2,66,4,1,12,3,74,0,1,0,0
soothsay,1264,33,33,43,2,15,22,0,0,2,9,11,6,1,7,2,2,0,5,11,23,0,0,86,4,3,19,17,8,0
Googolplexbyte,1265,11,13,62,3,5,14,1,3,1,6,3,0,4,2,5,0,0,4,10,7,7,4,10,9,2,5,4,7,0
yamisgirl,1266,20,19,100,3,8,16,2,4,2,10,2,0,6,3,9,2,0,14,20,10,4,6,18,19,4,4,6,9,0
Stoic_NHY,1267,35,17,15,1,12,4,1,1,1,1,19,10,3,0,1,0,1,3,1,60,1,0,17,2,12,2,1,0,1
NightDrawn,1268,7,5,6,2,17,7,0,42,1,1,1,3,3,1,2,0,1,7,1,0,3,7,2,4,0,1,1,3,1
floppywave,1269,32,36,27,4,13,88,3,8,2,17,3,2,5,4,1,1,1,9,2,9,2,6,18,4,2,0,6,10,0
Enjeru0taku002,1270,13,13,9,3,9,7,0,37,1,2,2,5,1,2,1,0,0,5,0,5,4,1,4,1,0,0,1,6,0
walnutpunk,1271,36,20,17,1,12,14,1,1,2,3,23,7,1,3,5,1,2,4,3,70,2,0,20,3,8,2,3,5,2
guywholikesanime,1272,4,0,3,0,6,1,1,1,0,0,2,2,52,1,0,0,1,5,3,5,1,4,0,5,2,0,0,3,0
Aniotaku228,1273,48,11,10,1,8,16,3,0,3,4,14,2,0,5,1,5,2,1,1,21,5,1,11,1,3,0,4,3,1
Vux-Sama,1274,18,24,20,2,8,13,1,1,2,5,4,2,1,5,1,4,0,2,5,9,0,0,48,2,3,6,7,5,0
UmbreonNova,1275,31,8,34,13,17,23,0,6,14,14,1,1,6,16,4,0,7,16,16,9,9,6,15,9,0,1,7,90,3
inabil,1276,11,2,26,0,10,0,1,0,0,0,1,0,2,1,1,1,0,2,10,5,1,2,19,8,0,46,0,0,0
stormofshadow,1277,15,19,92,0,11,14,0,4,2,6,6,4,1,6,5,4,1,11,19,13,5,6,13,18,4,4,2,3,1
